,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
262,test_10_6,test_runner,10,6,60,5,88.0
263,test_15_4,test_runner,15,4,60,5,73.0
264,test_30_2,test_runner,30,2,60,5,73.0
265,test_10_6,test_runner,10,6,60,6,75.0
266,test_15_4,test_runner,15,4,60,6,65.0
267,test_30_2,test_runner,30,2,60,6,72.0
268,test_10_6,test_runner,10,6,60,7,80.0
269,test_15_4,test_runner,15,4,60,7,70.0
270,test_30_2,test_runner,30,2,60,7,59.0
271,test_10_6,test_runner,10,6,60,8,61.0
272,test_15_4,test_runner,15,4,60,8,69.0
273,test_30_2,test_runner,30,2,60,8,70.0
274,test_10_6,test_runner,10,6,60,9,63.0
275,test_15_4,test_runner,15,4,60,9,73.0
276,test_30_2,test_runner,30,2,60,9,65.0
277,test_10_6,test_runner,10,6,60,10,66.0
278,test_15_4,test_runner,15,4,60,10,71.0
279,test_30_2,test_runner,30,2,60,10,55.0
280,test_10_6,test_runner,10,6,60,11,58.0
281,test_15_4,test_runner,15,4,60,11,61.0
282,test_30_2,test_runner,30,2,60,11,70.0
283,test_10_6,test_runner,10,6,60,12,59.0
284,test_15_4,test_runner,15,4,60,12,58.0
285,test_30_2,test_runner,30,2,60,12,63.0
286,test_10_6,test_runner,10,6,60,13,59.0
287,test_15_4,test_runner,15,4,60,13,62.0
288,test_30_2,test_runner,30,2,60,13,65.0
289,test_10_6,test_runner,10,6,60,14,62.0
290,test_15_4,test_runner,15,4,60,14,63.0
291,test_30_2,test_runner,30,2,60,14,65.0
292,test_10_6,test_runner,10,6,60,15,61.0
293,test_15_4,test_runner,15,4,60,15,70.0
294,test_30_2,test_runner,30,2,60,15,67.0
295,test_10_6,test_runner,10,6,60,16,65.0
296,test_15_4,test_runner,15,4,60,16,67.0
297,test_30_2,test_runner,30,2,60,16,67.0
298,test_10_6,test_runner,10,6,60,17,59.0
299,test_15_4,test_runner,15,4,60,17,66.0
300,test_30_2,test_runner,30,2,60,17,67.0
301,test_10_6,test_runner,10,6,60,18,58.0
302,test_15_4,test_runner,15,4,60,18,66.0
303,test_30_2,test_runner,30,2,60,18,64.0
304,test_10_6,test_runner,10,6,60,19,63.0
305,test_15_4,test_runner,15,4,60,19,67.0
306,test_30_2,test_runner,30,2,60,19,61.0
307,test_10_6,test_runner,10,6,60,20,62.0
308,test_15_4,test_runner,15,4,60,20,70.0
309,test_30_2,test_runner,30,2,60,20,64.0
310,test_10_6,test_runner,10,6,60,21,60.0
311,test_15_4,test_runner,15,4,60,21,61.0
312,test_30_2,test_runner,30,2,60,21,385.0
313,test_10_6,test_runner,10,6,60,22,57.0
