experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_60_10,50.0,1025.22,67.85437287579443,997.0,1004.25,1008.5,1017.75,1028.0,1089.2999999999997,1317.5199999999995,1441.0,4604.215918367357
test_60_12,50.0,1590.18,70.32452180674204,1558.0,1568.0,1575.0,1586.75,1602.2,1624.6999999999998,1879.9699999999993,2050.0,4945.538367346942
test_60_14,50.0,2698.02,67.52157327212434,2650.0,2679.0,2688.5,2700.0,2709.1,2717.65,2948.649999999999,3152.0,4559.16285714286
test_60_16,50.0,3645.42,81.78196248412665,3595.0,3614.25,3626.5,3643.75,3686.2,3690.0,3946.269999999999,4180.0,6688.289387755118
test_60_18,50.0,4941.82,114.14074555529402,4855.0,4889.25,4907.5,4966.5,5044.3,5062.6,5374.289999999999,5609.0,13028.109795918306
test_60_2,50.0,30.62,14.28841403061249,23.0,24.0,25.0,28.75,47.300000000000004,51.55,83.02999999999989,109.0,204.15877551020412
test_60_20,50.0,6680.32,124.73211130994588,6604.0,6644.5,6659.5,6673.75,6706.4,6734.25,7173.779999999999,7506.0,15558.099591836746
test_60_4,50.0,108.96,25.311899274806677,98.0,100.0,101.0,104.0,113.80000000000001,149.49999999999991,218.4999999999999,243.0,640.6922448979591
test_60_6,50.0,281.74,42.29527401591851,265.0,270.0,271.5,275.0,288.0,316.3999999999999,462.75999999999965,549.0,1788.8902040816313
test_60_8,50.0,616.28,50.92052230522321,595.0,601.0,606.0,609.75,621.0,641.6999999999999,839.5299999999996,939.0,2592.8995918367377
