experiment,component,rules,clauses_per_rule,total_clauses,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_30_18,asmeta,30,18,540,50.0,823.76,76.15895300257863,797.0,806.0,810.5,814.75,832.2,850.0999999999999,1115.1299999999992,1342.0,5800.186122448975
test_30_2,test_runner,30,2,60,50.0,69.54,49.03360363785519,49.0,54.0,60.0,65.75,72.1,90.14999999999996,281.11999999999955,385.0,2404.2942857142853
test_30_2,enforcer,30,2,60,50.0,40.06640000000001,14.325114489694563,28.47,31.88,38.05,43.155,47.347,56.216499999999975,96.7631999999999,120.44,205.20890514285702
test_30_2,asmeta,30,2,60,50.0,11.4,6.493324672779145,7.0,7.0,9.0,13.75,17.200000000000003,19.0,35.19999999999996,45.0,42.16326530612245
test_30_20,test_runner,30,20,600,50.0,1182.36,101.79807143035066,1149.0,1158.25,1164.0,1172.75,1182.2,1194.8999999999999,1592.679999999999,1871.0,10362.84734693878
test_30_20,enforcer,30,20,600,50.0,1157.033,97.72550930216404,1128.34,1133.655,1138.4,1147.5749999999998,1156.547,1171.7115,1551.046299999999,1818.16,9550.275168367361
test_30_20,asmeta,30,20,600,50.0,1046.88,83.66859796670603,1020.0,1027.25,1032.5,1038.0,1045.4,1052.3,1379.329999999999,1616.0,7000.434285714273
test_30_4,test_runner,30,4,120,50.0,81.78,29.24023646572354,65.0,70.25,74.0,76.0,112.60000000000001,123.55,193.21999999999974,253.0,854.9914285714285
test_30_4,enforcer,30,4,120,50.0,59.514,25.049805734714568,46.26,49.495000000000005,50.91,54.43,90.00200000000001,100.80699999999999,153.70199999999983,197.41,627.4927673469391
test_30_4,asmeta,30,4,120,50.0,29.4,14.543390391570748,22.0,23.0,24.0,26.75,50.2,54.19999999999999,82.5199999999999,108.0,211.51020408163274
test_30_6,test_runner,30,6,180,50.0,118.82,38.54109389168072,100.0,105.0,108.5,113.0,130.1,184.39999999999992,276.33999999999975,342.0,1485.4159183673473
test_30_6,enforcer,30,6,180,50.0,96.6506,35.09177300003115,79.33,83.4125,86.18,91.1725,109.545,161.6239999999999,238.54479999999978,293.66,1231.4325322857148
test_30_6,asmeta,30,6,180,50.0,61.86,23.950638012889975,51.0,53.0,54.0,57.75,70.00000000000001,108.49999999999997,158.69999999999987,193.0,573.6330612244897
test_30_8,test_runner,30,8,240,50.0,176.34,46.83475510466863,156.0,162.0,164.0,171.5,188.3,212.39999999999998,384.5399999999997,460.0,2193.4942857142837
test_30_8,enforcer,30,8,240,50.0,153.329,42.95224611028355,134.08,139.88,141.64499999999998,150.325,165.486,187.05349999999996,346.43459999999976,407.42,1844.8954459183653
test_30_8,asmeta,30,8,240,50.0,112.06,30.912919167050067,99.0,102.0,104.0,108.75,116.5,136.95,253.24999999999986,290.0,955.6085714285714
test_35_10,test_runner,35,10,350,50.0,338.38,63.36254285249838,305.0,322.0,323.5,327.0,359.4,415.1499999999999,590.9999999999994,738.0,4014.811836734694
test_35_10,enforcer,35,10,350,50.0,314.43839999999994,59.73842302189484,284.63,296.3075,300.375,303.7275,334.49300000000005,391.2444999999999,553.5116999999995,687.61,3568.6791851428525
test_35_10,asmeta,35,10,350,50.0,261.42,48.258271998969576,238.0,247.0,250.0,254.0,274.8,315.4999999999999,456.74999999999955,567.0,2328.860816326528
test_35_12,test_runner,35,12,420,50.0,551.34,69.6142754536652,528.0,534.0,536.5,543.25,552.8,588.3,836.1299999999993,1014.0,4846.147346938776
test_35_12,enforcer,35,12,420,50.0,527.5588,65.45325696640468,506.9,511.135,513.4449999999999,518.7225,531.5,564.9614999999999,796.6817999999994,960.92,4284.128847510197
test_35_12,asmeta,35,12,420,50.0,468.48,53.90098253619637,451.0,456.0,457.0,461.0,467.0,496.69999999999993,687.8599999999994,828.0,2905.315918367345
test_35_14,test_runner,35,14,490,50.0,755.04,99.17619036187001,722.0,729.0,733.0,740.0,750.4,773.8499999999999,1232.7199999999998,1268.0,9835.916734693885
